step,train_loss,val_ppl,lr
100,56.78316783905029,,1.785000e-05
200,37.4711971282959,,3.270000e-05
300,32.81754493713379,,4.755000e-05
400,27.28727674484253,,6.240000e-05
500,24.139195919036865,,7.725000e-05
600,20.796539783477783,,9.210000e-05
700,17.09994125366211,,1.069500e-04
800,14.79274868965149,,1.218000e-04
900,13.07728886604309,,1.366500e-04
1000,11.842819690704346,,1.515000e-04
1100,11.367109775543213,,1.663500e-04
1200,10.804854393005371,,1.812000e-04
1300,9.869851350784302,,1.960500e-04
1400,9.11763620376587,,2.109000e-04
1500,9.04637098312378,,2.257500e-04
1600,8.754213571548462,,2.406000e-04
1700,8.487343072891235,,2.554500e-04
1800,8.5956552028656,,2.703000e-04
1900,8.181076049804688,,2.851500e-04
2000,8.216469764709473,,3.000000e-04
2100,8.07538390159607,,2.999993e-04
2200,7.762413501739502,,2.999970e-04
2300,7.756111145019531,,2.999933e-04
2400,7.67315411567688,,2.999881e-04
2500,7.817096948623657,,2.999814e-04
2600,7.614750623703003,,2.999732e-04
2700,7.631545186042786,,2.999635e-04
2800,7.399511098861694,,2.999523e-04
2900,7.392358779907227,,2.999397e-04
3000,7.222031593322754,,2.999255e-04
3100,7.315977573394775,,2.999099e-04
3200,7.317914247512817,,2.998927e-04
3300,7.195765376091003,,2.998741e-04
3400,6.989640712738037,,2.998540e-04
3500,6.940176844596863,,2.998324e-04
3600,6.8226412534713745,,2.998093e-04
3700,6.6244670152664185,,2.997847e-04
3800,6.329242587089539,,2.997587e-04
3900,6.3208900690078735,,2.997311e-04
4000,6.278748154640198,,2.997021e-04
4100,6.140725135803223,,2.996716e-04
4200,6.087283253669739,,2.996395e-04
4300,6.005160331726074,,2.996060e-04
4400,6.0889774560928345,,2.995711e-04
4500,6.077097177505493,,2.995346e-04
4600,5.963840961456299,,2.994966e-04
4700,5.884738802909851,,2.994572e-04
4800,5.949030160903931,,2.994163e-04
4900,5.694174647331238,,2.993739e-04
5000,5.836888313293457,,2.993300e-04
5000,5.836888313293457,297.8973,2.993300e-04
5100,5.790948867797852,,2.992846e-04
5200,5.815350890159607,,2.992377e-04
5300,5.728860378265381,,2.991894e-04
5400,5.730387806892395,,2.991396e-04
5500,5.515473484992981,,2.990883e-04
5600,5.546225666999817,,2.990355e-04
5700,5.629209876060486,,2.989812e-04
5800,5.585439562797546,,2.989255e-04
5900,5.664969205856323,,2.988683e-04
6000,5.199107527732849,,2.988096e-04
6100,5.51030695438385,,2.987494e-04
6200,5.305622696876526,,2.986877e-04
6300,5.272200226783752,,2.986246e-04
6400,5.510847568511963,,2.985600e-04
6500,5.340775728225708,,2.984939e-04
6600,5.204118609428406,,2.984263e-04
6700,5.364885926246643,,2.983573e-04
6800,5.437221527099609,,2.982868e-04
6900,5.2706111669540405,,2.982148e-04
7000,5.117589354515076,,2.981414e-04
7100,5.245838284492493,,2.980664e-04
7200,5.202259182929993,,2.979900e-04
7300,5.0280832052230835,,2.979122e-04
7400,4.934717893600464,,2.978329e-04
7500,5.162717580795288,,2.977521e-04
7600,4.887020826339722,,2.976698e-04
7700,5.173291802406311,,2.975861e-04
7800,5.030104994773865,,2.975009e-04
7900,5.006986379623413,,2.974142e-04
8000,4.870921015739441,,2.973261e-04
8100,5.008198976516724,,2.972365e-04
8200,4.936800241470337,,2.971454e-04
8300,4.806987643241882,,2.970529e-04
8400,4.952117204666138,,2.969590e-04
8500,4.713453412055969,,2.968635e-04
8600,4.804600358009338,,2.967666e-04
8700,4.790955185890198,,2.966683e-04
8800,4.849297642707825,,2.965685e-04
8900,4.772912263870239,,2.964673e-04
9000,4.826813697814941,,2.963645e-04
9100,4.769370436668396,,2.962604e-04
9200,4.84224009513855,,2.961548e-04
