step,train_loss,val_ppl,lr
100,58.2276086807251,,1.785000e-05
200,38.738131523132324,,3.270000e-05
300,32.61194324493408,,4.755000e-05
400,28.051496982574463,,6.240000e-05
500,24.5510196685791,,7.725000e-05
600,21.006778240203857,,9.210000e-05
700,17.594257354736328,,1.069500e-04
800,15.116845607757568,,1.218000e-04
900,13.750810623168945,,1.366500e-04
1000,12.323964834213257,,1.515000e-04
1100,11.274242639541626,,1.663500e-04
1200,10.837819337844849,,1.812000e-04
1300,9.925947904586792,,1.960500e-04
1400,9.59601879119873,,2.109000e-04
1500,9.24057412147522,,2.257500e-04
1600,8.882465124130249,,2.406000e-04
1700,8.787677764892578,,2.554500e-04
1800,8.755627870559692,,2.703000e-04
1900,8.346648693084717,,2.851500e-04
2000,8.472862005233765,,3.000000e-04
2100,8.253599405288696,,2.999993e-04
2200,8.223678588867188,,2.999970e-04
2300,7.965000033378601,,2.999933e-04
2400,7.907187461853027,,2.999881e-04
2500,7.992352247238159,,2.999814e-04
2600,7.882497668266296,,2.999732e-04
2700,7.852060079574585,,2.999635e-04
2800,7.778809905052185,,2.999523e-04
2900,7.888392090797424,,2.999397e-04
3000,7.6982996463775635,,2.999255e-04
3100,7.552631974220276,,2.999099e-04
3200,7.726287841796875,,2.998927e-04
3300,7.631635904312134,,2.998741e-04
3400,7.486341714859009,,2.998540e-04
3500,7.441874980926514,,2.998324e-04
3600,7.286228656768799,,2.998093e-04
3700,7.374856352806091,,2.997847e-04
3800,7.272768259048462,,2.997587e-04
3900,7.114238500595093,,2.997311e-04
4000,6.777686953544617,,2.997021e-04
4100,6.784653425216675,,2.996716e-04
4200,6.674543619155884,,2.996395e-04
4300,6.535719156265259,,2.996060e-04
4400,6.464260935783386,,2.995711e-04
4500,6.382866978645325,,2.995346e-04
4600,6.356904864311218,,2.994966e-04
4700,6.306804895401001,,2.994572e-04
4800,6.264811635017395,,2.994163e-04
4900,6.222471833229065,,2.993739e-04
5000,6.126796245574951,,2.993300e-04
5000,6.126796245574951,461.0286,2.993300e-04
5100,6.092995762825012,,2.992846e-04
5200,6.268093705177307,,2.992377e-04
5300,6.151527047157288,,2.991894e-04
5400,6.172603249549866,,2.991396e-04
5500,5.9740437269210815,,2.990883e-04
5600,6.142029404640198,,2.990355e-04
5700,5.974372386932373,,2.989812e-04
5800,6.022359013557434,,2.989255e-04
5900,6.035498261451721,,2.988683e-04
6000,5.834020376205444,,2.988096e-04
6100,5.813253045082092,,2.987494e-04
6200,5.861368656158447,,2.986877e-04
6300,5.874980807304382,,2.986246e-04
6400,5.786998629570007,,2.985600e-04
6500,5.701200485229492,,2.984939e-04
6600,5.694074273109436,,2.984263e-04
6700,5.782503604888916,,2.983573e-04
6800,5.688262462615967,,2.982868e-04
6900,5.572792053222656,,2.982148e-04
7000,5.629268765449524,,2.981414e-04
7100,5.50724470615387,,2.980664e-04
7200,5.420209050178528,,2.979900e-04
7300,5.476784706115723,,2.979122e-04
7400,5.420567631721497,,2.978329e-04
7500,5.49453604221344,,2.977521e-04
7600,5.3970643281936646,,2.976698e-04
7700,5.481911540031433,,2.975861e-04
7800,5.416288137435913,,2.975009e-04
7900,5.266358017921448,,2.974142e-04
8000,5.281039834022522,,2.973261e-04
8100,5.367604494094849,,2.972365e-04
8200,5.18055534362793,,2.971454e-04
8300,5.175206184387207,,2.970529e-04
8400,5.122655630111694,,2.969590e-04
8500,5.096050500869751,,2.968635e-04
8600,5.321493148803711,,2.967666e-04
8700,5.154068350791931,,2.966683e-04
8800,5.218588590621948,,2.965685e-04
8900,4.979001998901367,,2.964673e-04
9000,4.9768407344818115,,2.963645e-04
9100,5.152293801307678,,2.962604e-04
9200,4.966636657714844,,2.961548e-04
9300,4.9844911098480225,,2.960477e-04
9400,4.915818452835083,,2.959392e-04
9500,5.048188924789429,,2.958292e-04
9600,4.900233030319214,,2.957178e-04
9700,4.818394780158997,,2.956050e-04
9800,4.989576935768127,,2.954907e-04
9900,4.621880650520325,,2.953749e-04
10000,4.9526225328445435,,2.952578e-04
10000,4.9526225328445435,105.8596,2.952578e-04
10100,4.810726046562195,,2.951391e-04
10200,4.835954546928406,,2.950191e-04
10300,4.785609245300293,,2.948976e-04
10400,4.739395976066589,,2.947746e-04
10500,4.659516334533691,,2.946502e-04
10600,4.586540460586548,,2.945244e-04
10700,4.600964069366455,,2.943972e-04
10800,4.737680792808533,,2.942685e-04
10900,4.7774049043655396,,2.941384e-04
11000,4.650075793266296,,2.940068e-04
11100,4.488632678985596,,2.938739e-04
11200,4.534183621406555,,2.937395e-04
11300,4.538719058036804,,2.936036e-04
11400,4.719537377357483,,2.934664e-04
11500,4.584483504295349,,2.933277e-04
11600,4.618494391441345,,2.931876e-04
11700,4.667499661445618,,2.930461e-04
11800,4.577268719673157,,2.929032e-04
11900,4.574964165687561,,2.927588e-04
12000,4.540687441825867,,2.926131e-04
12100,4.475599646568298,,2.924659e-04
12200,4.5673065185546875,,2.923173e-04
12300,4.59427809715271,,2.921673e-04
12400,4.594001770019531,,2.920159e-04
12500,4.505555868148804,,2.918631e-04
12600,4.483951091766357,,2.917089e-04
12700,4.485552072525024,,2.915532e-04
12800,4.456047534942627,,2.913962e-04
12900,4.382827520370483,,2.912378e-04
13000,4.391891002655029,,2.910779e-04
13100,4.390132188796997,,2.909167e-04
13200,4.339832901954651,,2.907541e-04
13300,4.306875824928284,,2.905900e-04
13400,4.398159384727478,,2.904246e-04
