step,train_loss,val_ppl,lr
100,57.234046936035156,,1.785000e-05
200,37.56974411010742,,3.270000e-05
300,32.93320560455322,,4.755000e-05
400,27.459470748901367,,6.240000e-05
500,24.476136207580566,,7.725000e-05
600,20.659910678863525,,9.210000e-05
700,16.835766315460205,,1.069500e-04
800,14.525247812271118,,1.218000e-04
900,13.048136711120605,,1.366500e-04
1000,11.754947185516357,,1.515000e-04
1100,11.503227710723877,,1.663500e-04
1200,10.366057872772217,,1.812000e-04
1300,10.082267045974731,,1.960500e-04
1400,9.242568254470825,,2.109000e-04
1500,9.543671131134033,,2.257500e-04
1600,9.036850690841675,,2.406000e-04
1700,8.628487229347229,,2.554500e-04
1800,8.406274795532227,,2.703000e-04
1900,8.260442972183228,,2.851500e-04
2000,8.216211795806885,,3.000000e-04
2100,8.283147811889648,,2.999993e-04
2200,7.666226744651794,,2.999970e-04
2300,7.827095031738281,,2.999933e-04
2400,7.682212233543396,,2.999881e-04
2500,7.872943758964539,,2.999814e-04
2600,7.62056291103363,,2.999732e-04
2700,7.611845254898071,,2.999635e-04
2800,7.4489312171936035,,2.999523e-04
2900,7.472567915916443,,2.999397e-04
3000,7.284646034240723,,2.999255e-04
3100,7.3291175365448,,2.999099e-04
3200,7.3714295625686646,,2.998927e-04
3300,7.319573283195496,,2.998741e-04
3400,7.124792814254761,,2.998540e-04
3500,7.019943833351135,,2.998324e-04
3600,6.906818151473999,,2.998093e-04
3700,6.844725728034973,,2.997847e-04
3800,6.555696368217468,,2.997587e-04
3900,6.486870050430298,,2.997311e-04
4000,6.366696119308472,,2.997021e-04
4100,6.202240824699402,,2.996716e-04
4200,6.13291323184967,,2.996395e-04
4300,6.043210506439209,,2.996060e-04
4400,6.111642837524414,,2.995711e-04
4500,6.08330500125885,,2.995346e-04
4600,5.980783462524414,,2.994966e-04
4700,5.890341401100159,,2.994572e-04
4800,5.964247226715088,,2.994163e-04
4900,5.6867029666900635,,2.993739e-04
5000,5.827941536903381,,2.993300e-04
5000,5.827941536903381,296.9469,2.993300e-04
5100,5.77383553981781,,2.992846e-04
5200,5.81606924533844,,2.992377e-04
5300,5.725744962692261,,2.991894e-04
5400,5.720531702041626,,2.991396e-04
5500,5.511026620864868,,2.990883e-04
5600,5.562735915184021,,2.990355e-04
5700,5.630458474159241,,2.989812e-04
5800,5.580852746963501,,2.989255e-04
5900,5.6677597761154175,,2.988683e-04
6000,5.199570536613464,,2.988096e-04
6100,5.510752558708191,,2.987494e-04
6200,5.314976692199707,,2.986877e-04
6300,5.26517927646637,,2.986246e-04
6400,5.5223671197891235,,2.985600e-04
6500,5.344046235084534,,2.984939e-04
6600,5.211207270622253,,2.984263e-04
6700,5.372790694236755,,2.983573e-04
6800,5.43631911277771,,2.982868e-04
6900,5.28227686882019,,2.982148e-04
7000,5.124991059303284,,2.981414e-04
7100,5.240116119384766,,2.980664e-04
7200,5.172513723373413,,2.979900e-04
7300,5.019410014152527,,2.979122e-04
7400,4.916077017784119,,2.978329e-04
7500,5.148118257522583,,2.977521e-04
7600,4.873923301696777,,2.976698e-04
7700,5.15374481678009,,2.975861e-04
7800,5.02455997467041,,2.975009e-04
7900,4.999863028526306,,2.974142e-04
8000,4.857887029647827,,2.973261e-04
8100,4.988163590431213,,2.972365e-04
8200,4.918447494506836,,2.971454e-04
8300,4.789076328277588,,2.970529e-04
8400,4.930497527122498,,2.969590e-04
8500,4.698830962181091,,2.968635e-04
8600,4.793449640274048,,2.967666e-04
8700,4.782286047935486,,2.966683e-04
8800,4.842216610908508,,2.965685e-04
8900,4.7632094621658325,,2.964673e-04
9000,4.810959458351135,,2.963645e-04
9100,4.76819372177124,,2.962604e-04
9200,4.819430828094482,,2.961548e-04
9300,4.631220698356628,,2.960477e-04
9400,4.886337399482727,,2.959392e-04
9500,4.807219505310059,,2.958292e-04
9600,4.770144701004028,,2.957178e-04
9700,4.562709212303162,,2.956050e-04
9800,4.496273040771484,,2.954907e-04
9900,4.825835943222046,,2.953749e-04
10000,4.678310871124268,,2.952578e-04
10000,4.678310871124268,93.8364,2.952578e-04
10100,4.7080336809158325,,2.951391e-04
10200,4.501816987991333,,2.950191e-04
10300,4.579268574714661,,2.948976e-04
10400,4.582160592079163,,2.947746e-04
10500,4.580222010612488,,2.946502e-04
10600,4.36353862285614,,2.945244e-04
10700,4.44308066368103,,2.943972e-04
10800,4.3133304715156555,,2.942685e-04
10900,4.39398467540741,,2.941384e-04
11000,4.628317356109619,,2.940068e-04
11100,4.532233357429504,,2.938739e-04
11200,4.608039140701294,,2.937395e-04
11300,4.62575364112854,,2.936036e-04
11400,4.516238212585449,,2.934664e-04
11500,4.483524799346924,,2.933277e-04
11600,4.329334735870361,,2.931876e-04
11700,4.339022159576416,,2.930461e-04
11800,4.367611765861511,,2.929032e-04
11900,4.347752571105957,,2.927588e-04
12000,4.487713575363159,,2.926131e-04
12100,4.425013542175293,,2.924659e-04
12200,4.269613564014435,,2.923173e-04
12300,4.138477325439453,,2.921673e-04
12400,4.316291451454163,,2.920159e-04
12500,4.524021625518799,,2.918631e-04
12600,4.279989242553711,,2.917089e-04
12700,4.4442877769470215,,2.915532e-04
12800,4.176602303981781,,2.913962e-04
12900,4.334933161735535,,2.912378e-04
13000,4.285956978797913,,2.910779e-04
13100,4.242385745048523,,2.909167e-04
13200,4.355801939964294,,2.907541e-04
13300,3.98737496137619,,2.905900e-04
13400,4.263100326061249,,2.904246e-04
13500,4.286125302314758,,2.902578e-04
13600,4.399461150169373,,2.900896e-04
13700,4.386431694030762,,2.899200e-04
13800,4.265886902809143,,2.897490e-04
13900,4.278758764266968,,2.895767e-04
14000,4.163341701030731,,2.894029e-04
14100,4.09144651889801,,2.892278e-04
14200,4.181342303752899,,2.890513e-04
14300,4.091829419136047,,2.888734e-04
14400,4.018574595451355,,2.886942e-04
14500,4.144249200820923,,2.885135e-04
14600,3.990716814994812,,2.883315e-04
14700,4.13161426782608,,2.881482e-04
14800,4.1171775460243225,,2.879634e-04
14900,4.0912668108940125,,2.877773e-04
15000,4.1613075733184814,,2.875898e-04
15000,4.1613075733184814,57.3658,2.875898e-04
15100,4.095161974430084,,2.874010e-04
15200,3.8966748118400574,,2.872108e-04
15300,4.055516302585602,,2.870192e-04
15400,4.028044939041138,,2.868263e-04
15500,4.099234640598297,,2.866321e-04
15600,4.007202923297882,,2.864364e-04
15700,3.9857190251350403,,2.862395e-04
15800,4.09141081571579,,2.860412e-04
15900,3.939174473285675,,2.858415e-04
16000,4.16900360584259,,2.856405e-04
16100,4.004531741142273,,2.854381e-04
16200,4.034821450710297,,2.852344e-04
16300,3.8555608987808228,,2.850294e-04
16400,3.9979106783866882,,2.848230e-04
16500,4.228787302970886,,2.846153e-04
16600,4.2008140087127686,,2.844063e-04
16700,4.033489346504211,,2.841959e-04
16800,3.8428726196289062,,2.839843e-04
16900,4.141843676567078,,2.837712e-04
17000,3.9643077850341797,,2.835569e-04
17100,4.022371888160706,,2.833412e-04
17200,4.163882613182068,,2.831243e-04
17300,3.8926567435264587,,2.829060e-04
17400,3.92855966091156,,2.826864e-04
17500,4.0546064376831055,,2.824654e-04
17600,3.99011892080307,,2.822432e-04
17700,4.25160539150238,,2.820197e-04
17800,3.912359356880188,,2.817948e-04
17900,4.0365986824035645,,2.815687e-04
18000,4.042504727840424,,2.813412e-04
18100,3.860633969306946,,2.811125e-04
18200,3.950603723526001,,2.808824e-04
18300,3.7184369564056396,,2.806511e-04
18400,3.8459778428077698,,2.804185e-04
18500,4.009065210819244,,2.801845e-04
18600,3.7861871123313904,,2.799493e-04
18700,3.6964865922927856,,2.797128e-04
18800,3.8454625010490417,,2.794751e-04
18900,3.9926920533180237,,2.792360e-04
19000,3.7608367204666138,,2.789957e-04
19100,3.843248426914215,,2.787541e-04
19200,4.035185873508453,,2.785112e-04
19300,3.954685389995575,,2.782671e-04
19400,3.8459352254867554,,2.780217e-04
19500,3.809812605381012,,2.777750e-04
19600,4.040042757987976,,2.775271e-04
19700,3.7676538825035095,,2.772779e-04
19800,3.9144859313964844,,2.770274e-04
19900,3.864225208759308,,2.767757e-04
20000,3.6122336387634277,,2.765228e-04
20000,3.6122336387634277,44.5296,2.765228e-04
20100,3.936864495277405,,2.762686e-04
20200,3.949942111968994,,2.760131e-04
20300,3.6805590391159058,,2.757564e-04
20400,3.6879201531410217,,2.754985e-04
20500,3.9010910987854004,,2.752393e-04
20600,3.9430400729179382,,2.749789e-04
20700,3.8236124515533447,,2.747173e-04
20800,3.89716112613678,,2.744544e-04
20900,3.804481863975525,,2.741903e-04
21000,3.8379091024398804,,2.739250e-04
21100,3.8422011137008667,,2.736584e-04
21200,3.907426118850708,,2.733907e-04
21300,3.947492837905884,,2.731217e-04
21400,3.7843390703201294,,2.728515e-04
21500,3.7693158984184265,,2.725801e-04
21600,3.543755888938904,,2.723075e-04
21700,3.8382630348205566,,2.720336e-04
21800,3.560774028301239,,2.717586e-04
21900,3.5521892309188843,,2.714824e-04
22000,3.791872501373291,,2.712050e-04
22100,3.7255499362945557,,2.709264e-04
22200,3.6364672780036926,,2.706466e-04
22300,3.551877737045288,,2.703656e-04
22400,3.402726650238037,,2.700834e-04
22500,3.5631760954856873,,2.698000e-04
22600,3.70082825422287,,2.695155e-04
22700,3.5296576619148254,,2.692298e-04
22800,3.707732141017914,,2.689429e-04
22900,3.557281255722046,,2.686548e-04
23000,3.669544219970703,,2.683656e-04
23100,3.6976906061172485,,2.680752e-04
23200,3.684790849685669,,2.677836e-04
23300,3.7643883228302,,2.674909e-04
23400,3.546468734741211,,2.671970e-04
23500,3.565283954143524,,2.669020e-04
23600,3.4686310291290283,,2.666058e-04
23700,3.684654474258423,,2.663085e-04
23800,3.5751437544822693,,2.660100e-04
23900,3.7120489478111267,,2.657104e-04
24000,3.8012669682502747,,2.654097e-04
24100,3.5897804498672485,,2.651078e-04
24200,3.4871988892555237,,2.648048e-04
24300,3.7617319226264954,,2.645006e-04
24400,3.70112007856369,,2.641954e-04
24500,3.672520637512207,,2.638890e-04
24600,3.6925790309906006,,2.635815e-04
24700,3.684873104095459,,2.632728e-04
24800,3.5311529636383057,,2.629631e-04
24900,3.7349531650543213,,2.626523e-04
25000,3.8066644072532654,,2.623403e-04
25000,3.8066644072532654,38.6823,2.623403e-04
25100,3.4842177629470825,,2.620273e-04
25200,3.598655641078949,,2.617131e-04
25300,3.6404184103012085,,2.613978e-04
25400,3.549639344215393,,2.610815e-04
25500,3.390640437602997,,2.607641e-04
25600,3.429360032081604,,2.604455e-04
25700,3.453530788421631,,2.601259e-04
25800,3.5989444851875305,,2.598053e-04
25900,3.590976357460022,,2.594835e-04
26000,3.5652021765708923,,2.591607e-04
26100,3.551727592945099,,2.588367e-04
26200,3.7476746439933777,,2.585118e-04
26300,3.573909640312195,,2.581857e-04
